Begin Date, End Date, Hits, Pages
begin_date=18510101,end_date=18510107,0,0
begin_date=18510108,end_date=18510114,0,0
begin_date=18510115,end_date=18510121,0,0
begin_date=18510122,end_date=18510128,0,0
begin_date=18510129,end_date=18510131,0,0
begin_date=18510201,end_date=18510207,0,0
begin_date=18510208,end_date=18510214,0,0
begin_date=18510215,end_date=18510221,0,0
begin_date=18510222,end_date=18510228,0,0
begin_date=18510301,end_date=18510307,0,0
begin_date=18510308,end_date=18510314,0,0
begin_date=18510315,end_date=18510321,0,0
begin_date=18510322,end_date=18510328,0,0
begin_date=18510329,end_date=18510331,0,0
begin_date=18510401,end_date=18510407,0,0
begin_date=18510408,end_date=18510414,0,0
begin_date=18510415,end_date=18510421,0,0
begin_date=18510422,end_date=18510428,0,0
begin_date=18510429,end_date=18510430,0,0
begin_date=18510501,end_date=18510507,0,0
begin_date=18510508,end_date=18510514,0,0
begin_date=18510515,end_date=18510521,0,0
begin_date=18510522,end_date=18510528,0,0
begin_date=18510529,end_date=18510531,0,0
begin_date=18510601,end_date=18510607,0,0
begin_date=18510608,end_date=18510614,0,0
begin_date=18510615,end_date=18510621,0,0
begin_date=18510622,end_date=18510628,0,0
begin_date=18510629,end_date=18510630,0,0
begin_date=18510701,end_date=18510707,0,0
begin_date=18510708,end_date=18510714,0,0
begin_date=18510715,end_date=18510721,0,0
begin_date=18510722,end_date=18510728,0,0
begin_date=18510729,end_date=18510731,0,0
begin_date=18510801,end_date=18510807,0,0
begin_date=18510808,end_date=18510814,0,0
begin_date=18510815,end_date=18510821,0,0
begin_date=18510822,end_date=18510828,0,0
begin_date=18510829,end_date=18510831,0,0
begin_date=18510901,end_date=18510907,0,0
begin_date=18510908,end_date=18510914,0,0
begin_date=18510915,end_date=18510921,1,1
begin_date=18510922,end_date=18510928,11,2
begin_date=18510929,end_date=18510930,0,0
begin_date=18511001,end_date=18511007,27,3
begin_date=18511008,end_date=18511014,17,2
begin_date=18511015,end_date=18511021,18,2
begin_date=18511022,end_date=18511028,9,1
begin_date=18511029,end_date=18511031,5,1
begin_date=18511101,end_date=18511107,10,1
begin_date=18511108,end_date=18511114,8,1
begin_date=18511115,end_date=18511121,7,1
begin_date=18511122,end_date=18511128,9,1
begin_date=18511129,end_date=18511130,1,1
begin_date=18511201,end_date=18511207,13,2
begin_date=18511208,end_date=18511214,7,1
begin_date=18511215,end_date=18511221,3,1
begin_date=18511222,end_date=18511228,9,1
begin_date=18511229,end_date=18511231,3,1
begin_date=18520101,end_date=18520107,17,2
begin_date=18520108,end_date=18520114,16,2
begin_date=18520115,end_date=18520121,14,2
begin_date=18520122,end_date=18520128,7,1
begin_date=18520129,end_date=18520131,10,1
begin_date=18520201,end_date=18520207,15,2
begin_date=18520208,end_date=18520214,16,2
begin_date=18520215,end_date=18520221,14,2
begin_date=18520222,end_date=18520228,8,1
begin_date=18520301,end_date=18520307,15,2
begin_date=18520308,end_date=18520314,12,2
begin_date=18520315,end_date=18520321,15,2
begin_date=18520322,end_date=18520328,9,1
begin_date=18520329,end_date=18520331,5,1
begin_date=18520401,end_date=18520407,9,1
begin_date=18520408,end_date=18520414,14,2
begin_date=18520415,end_date=18520421,7,1
begin_date=18520422,end_date=18520428,9,1
begin_date=18520429,end_date=18520430,2,1
begin_date=18520501,end_date=18520507,7,1
begin_date=18520508,end_date=18520514,12,2
begin_date=18520515,end_date=18520521,7,1
begin_date=18520522,end_date=18520528,19,2
